;1;2;3;4;5;6
Total;0.2092;0.0464;0.1590;0.2054;0.1246;0.2555
Adolfo Alsina;0,7273;0,1818;0,0455;0,0455;0;0
Alberti;0,3571;0;0,4643;0,0714;0,1071;0
Almirante Brown;0,0361;0,0336;0,1549;0,0611;0,1411;0,5731
Avellaneda;0,1367;0,0025;0,3797;0,2203;0,0785;0,1823
Ayacucho;0,5686;0,098;0,2941;0,0392;0;0
Azul;0,3782;0,0128;0,2821;0,3141;0;0,0128
Bahía Blanca;0,4372;0,1997;0,0439;0,2905;0;0,0287
Balcarce;0,6542;0,1215;0,0374;0,1869;0;0
Baradero;0,1084;0;0,4217;0,253;0,012;0,2048
Arrecifes;0,2535;0,0282;0,3803;0,3239;0;0,0141
Berazategui;0,0131;0,0015;0,1776;0,115;0,064;0,6288
Berisso;0,0236;0;0,3302;0,467;0,0047;0,1745
Bolívar;0,4176;0,011;0,4286;0,1209;0;0,022
Bragado;0,5048;0,0286;0,4571;0;0,0095;0
Brandsen;0,4444;0;0,5238;0,0317;0;0
Campana;0,4067;0,0144;0,2297;0,1722;0;0,177
Cañuelas;0,0431;0;0,3793;0,2672;0,1897;0,1207
Capitán Sarmiento;0,2353;0;0,0882;0,6765;0;0
Carlos Casares;0,5;0,0179;0,4286;0,0536;0;0
Carlos Tejedor;0,5517;0;0,4483;0;0;0
Carmen de Areco;0,1351;0;0,8378;0;0,027;0
Patagones;0,338;0;0,3099;0,1127;0,0141;0,2254
Castelli;0,1818;0;0,8182;0;0;0
Colón;0,0167;0,0167;0,8333;0,0667;0;0,0667
Coronel Dorrego;0,7805;0,0976;0,122;0;0;0
Coronel Pringles;0,569;0,0345;0,3448;0,0345;0;0,0172
Coronel Rosales;0,6879;0,2553;0,0071;0,0496;0;0
Coronel Suárez;0,6304;0,0217;0,1304;0,2065;0;0,0109
Chacabuco;0,2083;0,0417;0,6667;0,0417;0,0167;0,025
Chascomús;0,4674;0,0109;0,0435;0,4783;0;0
Chivilcoy;0;0;0,1288;0,1656;0,0061;0,6994
Daireaux;0,4651;0,0465;0,4884;0;0;0
Dolores;0,7313;0,0149;0,0149;0,2388;0;0
Ensenada;0;0;0,2917;0,1111;0,0208;0,5764
Escobar;0,1114;0,0022;0,1725;0,2817;0,0895;0,3428
Esteban Echeverría;0,1849;0,0084;0,0756;0,1008;0,1849;0,4454
Exaltación de la Cruz;0,1045;0;0,3284;0,5075;0;0,0597
Florencio Varela;0;0;0,043;0,0177;0,3919;0,5474
General Alvarado;0,0722;0;0,0412;0,7732;0;0,1134
General Alvear;0,7917;0,0417;0,1667;0;0;0
General Arenales;0,5952;0,119;0,2857;0;0;0
General Belgrano;0,3333;0;0,5556;0,1111;0;0
General Guido;0,625;0,125;0,25;0;0;0
General Lamadrid;0,4483;0;0,5172;0;0,0345;0
Las Heras;0;0;0,1515;0,3636;0,0303;0,4545
General Lavalle;0,5;0;0;0,5;0;0
General Madariaga;0,2083;0;0,2917;0,4792;0;0,0208
General Paz;0,1818;0;0,7273;0,0606;0;0,0303
General Pinto;0,0714;0;0,6429;0,1429;0;0,1429
General Pueyrredón;0,3031;0,1452;0,2405;0,1932;0,0107;0,1073
General Rodríguez;0,0158;0;0,3263;0,2789;0;0,3789
General San Martín;0,1394;0;0,1427;0,3969;0,0022;0,3188
San Miguel;0,1729;0,0048;0,0517;0,3086;0,1341;0,3279
General Viamonte;0,2326;0;0,3953;0,3488;0;0,0233
General Villegas;0,2027;0;0;0,7973;0;0
Gonzales Chaves;0,0323;0;0,6129;0;0,0968;0,2581
Guamini;0,2857;0;0,6786;0;0;0,0357
Hipólito Yrigoyen;0,3478;0;0,6087;0,0435;0;0
Juárez;0,098;0;0,549;0,1765;0;0,1765
Junín;0,2723;0,0134;0,0536;0,6429;0;0,0179
